"lplan_id","lplan_month","loan_type_id","lplan_interest","lplan_penalty","lplan_config"
"1","2","1","3","5",NULL
"2","4","1","3","5",NULL
"3","6","1","3","5",NULL
"4","8","1","3","5",NULL
"5","10","1","3","5",NULL
"6","12","1","3","5",NULL
"7","14","1","3","5",NULL
"8","16","1","3","5",NULL
"9","18","1","3","5",NULL
"10","20","1","3","5",NULL
"11","22","1","3","5",NULL
"12","24","1","3","5",NULL
"13","12","2","6","5",NULL
"14","4","2","6","5",NULL
"15","6","2","6","5",NULL
"16","8","2","6","5",NULL
"17","10","2","6","5",NULL
"18","12","2","6","5",NULL
"19","14","2","6","5",NULL
"20","16","2","6","5",NULL
"21","18","2","6","5",NULL
"22","20","2","6","5",NULL
"23","22","2","6","5",NULL
"24","24","2","6","5",NULL
"25","12","3","4","5",NULL
"29","10","1","4","5",NULL
"30","10","5","4","5",NULL
"31","56","2","6","3","{""mode"":""3"",""term"":56,""frequency"":""ARAWAN"",""interest_rate"":""6"",""penalty_percentage_rate"":""3"",""penalty_count_interval"":""15""}"
"32","3","2","6","5","{""mode"":""2"",""term"":3,""frequency"":""WEEKLY"",""interest_rate"":""6"",""penalty_percentage_rate"":""5"",""penalty_count_interval"":""14""}"
"33","3","1","5","15","{""mode"":""2"",""term"":3,""frequency"":""WEEKLY"",""interest_rate"":""5"",""penalty_percentage_rate"":""15"",""penalty_count_interval"":""14""}"
"34","3","2","5","15","{""mode"":""2"",""term"":3,""frequency"":""WEEKLY"",""interest_rate"":""5"",""penalty_percentage_rate"":""15"",""penalty_count_interval"":""14""}"
"35","56","2","6","5","{""mode"":""3"",""term"":56,""frequency"":""ARAWAN"",""interest_rate"":""6"",""penalty_percentage_rate"":""5"",""penalty_count_interval"":""57""}"
"36","56","2","6","5","{""mode"":""3"",""term"":56,""frequency"":""ARAWAN"",""interest_rate"":""6"",""penalty_percentage_rate"":""5"",""penalty_count_interval"":""57""}"
"37","3","1","6","5","{""mode"":""2"",""term"":3,""frequency"":""WEEKLY"",""interest_rate"":""6"",""penalty_percentage_rate"":""5"",""penalty_count_interval"":""14""}"
"38","3","2","6","15","{""mode"":""2"",""term"":3,""frequency"":""WEEKLY"",""interest_rate"":""6"",""penalty_percentage_rate"":""15"",""penalty_count_interval"":""14""}"
"39","56","5","4","5","{""mode"":""3"",""term"":56,""frequency"":""ARAWAN"",""interest_rate"":""4"",""penalty_percentage_rate"":""5"",""penalty_count_interval"":""1""}"
"40","56","2","6","0","{""mode"":""3"",""term"":56,""frequency"":""ARAWAN"",""interest_rate"":""6"",""penalty_percentage_rate"":""0"",""penalty_count_interval"":""1""}"
"41","10","1","4","5",NULL
"42","3","5","4","5","{""mode"":""2"",""term"":3,""frequency"":""WEEKLY"",""interest_rate"":""4"",""penalty_percentage_rate"":""5"",""penalty_count_interval"":""14""}"
